"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"CXCL9","CXCL9",1.43064580404956,0.479061819438592,15.7674176686429,4.13975827535788e-53,1.05822570913836e-49,109.801878291374,2.69567356761262,2.7
"CXCL10","CXCL10",1.18253903917373,0.48510067209562,15.3197332121315,2.22464623576403e-50,3.06582891292368e-47,103.585168963008,2.26975886937325,2.27
"CXCL11","CXCL11",1.14142597315034,-0.354797488065189,19.4880793176803,4.48249629436116e-78,4.58335246098429e-74,166.684447614246,2.20598957507691,2.21
"JCHAIN","JCHAIN",1.05449493925896,0.716731924100011,9.73527963786917,5.95759209802589e-22,4.08834759747079e-20,38.9898042263064,2.07699096334181,2.08
"GBP1","GBP1",0.823624714910605,0.838576567099566,14.3132609955633,1.79615225807574e-44,1.41274283375573e-41,90.1396503306303,1.76984708284338,1.77
"HLA-DQA1","HLA-DQA1",0.82235610000455,0.549084309376315,9.30361860210148,3.21032848702964e-20,1.86509140794762e-18,35.0715843652878,1.76829147514462,1.77
"HLA-DPA1","HLA-DPA1",0.812790795790106,2.60540907581963,14.7396710750906,6.18430756621893e-47,5.74859498768987e-44,95.7451304867947,1.75660619375811,1.76
"LYZ","LYZ",0.811758547225,0.893827013464707,11.1620375735542,3.60414905642801e-28,5.04827727424335e-26,53.0854511545104,1.75534979123755,1.76
"ACKR1","ACKR1",0.805374294366543,-0.178077313257878,14.0908613551425,3.27727710040855e-43,2.09438489697984e-40,87.2699740701066,1.74759913203804,1.75
"HLA-DRA","HLA-DRA",0.780803025043262,2.76863936367278,13.6196634119882,1.36034343777803e-40,7.72750647293356e-38,81.3139294026487,1.71808691894432,1.72
"UBD","UBD",0.777176518681119,0.973130046839382,11.7098747201959,9.36323222624057e-31,1.67963244760193e-28,58.9542234587774,1.71377358277923,1.71
"PSMB9","PSMB9",0.737756871467991,0.49898723778776,13.6517677910664,9.07005358343772e-41,5.45537046415592e-38,81.7143450681585,1.6675810367814,1.67
"IDO1","IDO1",0.729313335071147,-0.440095680382805,15.3058176263641,2.69852911650984e-50,3.06582891292368e-47,103.394229548557,1.65784983384241,1.66
"CD48","CD48",0.71508620740559,-0.00857348445157623,13.2832567996158,9.06689348142012e-39,4.21404481125094e-36,77.1660476961252,1.64158130642941,1.64
"HLA-DRB1","HLA-DRB1",0.69839757544059,2.20158563459663,11.1709510312705,3.27796323345226e-28,4.65516306417352e-26,53.1789399493054,1.62270143083776,1.62
"CX3CR1","CX3CR1",0.677520903282192,0.0382990403544247,16.5553172097528,4.60040979875379e-58,2.35195950961287e-54,121.084996631503,1.59938903609432,1.6
"PLAC8","PLAC8",0.664504002555774,-0.408858602916475,14.1133879564973,2.44629471605002e-43,1.6675575647741e-40,87.5589435908839,1.58502324976377,1.59
"CTSS","CTSS",0.660120648719601,0.219938934377824,14.1780907048367,1.05387627961098e-43,7.69706068501592e-41,88.3910760203224,1.58021476732702,1.58
"SRGN","SRGN",0.656708336590728,1.82402015549697,12.7385932790608,6.74323802379028e-36,2.2241809288147e-33,70.6377965746798,1.57648160543452,1.58
"HLA-B","HLA-B",0.651585460362285,2.65916327944807,12.4607180756213,1.79672926608513e-34,4.71065557582577e-32,67.3977351757046,1.5708935926579,1.57
"C1QB","C1QB",0.644762147118217,0.851417317066933,9.72777394033285,6.3941012200149e-22,4.35864566497682e-20,38.9202817662609,1.56348149841816,1.56
"PLA1A","PLA1A",0.612340799703718,0.315853550377538,15.6235812389154,3.16932064702257e-52,6.48126072316115e-49,107.788951254067,1.52873760316765,1.53
"TYROBP","TYROBP",0.605698637568682,0.78605626246408,10.8117206085338,1.42267062457923e-26,1.61631190403585e-24,49.4639711225529,1.52171547874387,1.52
"HLA-DMA","HLA-DMA",0.5779966584747,1.31040754636271,12.9536585355205,5.09555539715013e-37,2.00392515137923e-34,73.1876275913159,1.49277492577418,1.49
