"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"AOC1","AOC1",0.786453827341926,1.95949263332359,7.79818612314909,9.67566876903005e-15,2.29013224915121e-13,22.6576146279161,1.72482958286784,1.72
"GSTA1","GSTA1",0.749461260344414,2.70824439859617,5.63164055700818,2.01663635363975e-08,2.28858010166109e-07,8.49168820928053,1.68116492279673,1.68
"HPD","HPD",0.715291093471776,1.75333583876192,5.40445715189882,7.21339990147874e-08,7.47284842883689e-07,7.2622113238737,1.64181445412206,1.64
"XPNPEP2","XPNPEP2",0.714880460149527,1.43959021743475,6.82742072102688,1.11841711413552e-11,1.99257167479472e-10,15.7685005498834,1.64134721207327,1.64
"REN","REN",0.629531948040468,0.463320665207798,5.65596442708819,1.75440010415803e-08,2.01785613779705e-07,8.6262390630508,1.54706300017486,1.55
"UMOD","UMOD",0.620259978072286,3.65912855152948,5.71234597352154,1.26758290318829e-08,1.49148851382051e-07,8.94028561250877,1.53715215586561,1.54
"PLG","PLG",0.614406826429368,1.32697918837002,5.93112856448051,3.49225167204629e-09,4.45240316043308e-08,10.1874974793435,1.53092841637087,1.53
"AZGP1","AZGP1",0.557475381506376,1.76294539825783,5.96971539022423,2.76923042922793e-09,3.60791565664629e-08,10.4121770530126,1.47169160211346,1.47
"DIO1","DIO1",0.554783097783229,1.85193099310502,5.20113875033748,2.16674125997235e-07,2.07286447024752e-06,6.20368075593607,1.46894776748852,1.47
"APOM","APOM",0.523384210241245,2.05505713606301,5.23414553127051,1.81718866906541e-07,1.76623138224276e-06,6.37283357733442,1.43732290514373,1.44
"CAPN3","CAPN3",0.520079430250638,1.02684758448479,6.21545525996714,6.11920749982281e-10,8.84991466558533e-09,11.8760789306262,1.43403419925435,1.43
"SERPINA6","SERPINA6",0.51610273511627,0.330305960759794,7.82240072622181,8.0264596659671e-15,1.91306643553645e-13,22.8405417383091,1.43008682001368,1.43
"PCK2","PCK2",0.514205218044705,1.62350621108397,5.53324791044948,3.52300723844986e-08,3.83220734182445e-07,7.95316387541798,1.42820712242835,1.43
"EGF","EGF",0.5138667675115,1.29886238855727,5.26792496885408,1.51616940718331e-07,1.49065694119706e-06,6.54702613440364,1.42787211000117,1.43
"SLC22A6","SLC22A6",0.492403682924013,1.34742832959497,4.93137095094388,8.78515638139954e-07,7.48568533331752e-06,4.86034296652935,1.40678678021961,1.41
"HSD11B2","HSD11B2",0.489927517842903,1.8240083995967,7.13901637983568,1.27691904979323e-12,2.52055932126174e-11,17.8848125430835,1.40437431707238,1.4
"CUBN","CUBN",0.489906432252209,2.31658577783921,4.73117715336041,2.37596757109091e-06,1.8321469392462e-05,3.90867552792589,1.40435379170507,1.4
"PIPOX","PIPOX",0.486194874163821,1.6157060361271,4.71338817267369,2.59089468756452e-06,1.98083843523737e-05,3.82597934447404,1.40074551587878,1.4
"AQP2","AQP2",0.476768257121846,1.80382117316805,6.405740233112,1.82945364572965e-10,2.84720906051533e-09,13.0487486066965,1.39162283482488,1.39
"SERPINA5","SERPINA5",0.456381174761643,1.84923059704956,7.01166401176883,3.13340183513088e-12,5.94416210838835e-11,17.0089502991487,1.3720957624152,1.37
"ALDH6A1","ALDH6A1",0.454455485061658,2.34729160770244,6.04879994811297,1.71397007798132e-09,2.29991391697624e-08,10.8770664255946,1.37026552942777,1.37
"ADIRF","ADIRF",0.448444400310107,1.99685702400399,7.17742707115105,9.71215587613514e-13,1.95485814632838e-11,18.1519330383718,1.36456810464038,1.36
"DCXR","DCXR",0.447381896014663,2.25983025667859,5.54452205809019,3.30635939189258e-08,3.61577805156167e-07,8.01440188063966,1.36356350860849,1.36
"RALYL","RALYL",0.443629373148776,0.564320075757089,7.73774411626472,1.53904661107841e-14,3.59286566170703e-13,22.2033503496445,1.36002141943929,1.36
"MME","MME",0.439160327245383,1.39215210482938,5.61573424981121,2.20831458457036e-08,2.49227556591964e-07,8.40400478027285,1.35581499066073,1.36
"MGAM","MGAM",0.438283935166396,0.902414264728193,5.94837848255982,3.14877633863577e-09,4.04475352544607e-08,10.28776434355,1.35499162560236,1.35
"CLDN10","CLDN10",0.437715692872073,2.08520084341454,7.15240741333631,1.16090381267124e-12,2.30938550283336e-11,17.9777829682391,1.35445803262997,1.35
"RIDA","RIDA",0.431691868223529,2.18652686981255,5.40118649969007,7.34439966009865e-08,7.58550368934432e-07,7.24487065736956,1.34881442288229,1.35
"SLC12A1","SLC12A1",0.431017313993026,2.4776909540368,4.46470949153458,8.42896011601171e-06,5.74957419521146e-05,2.7019231021442,1.34818391139118,1.35
"CLDN8","CLDN8",0.428413410261684,1.48825931130225,6.37011253766073,2.29936110239636e-10,3.52488264947568e-09,12.826593739941,1.34575278433006,1.35
"FOLR1","FOLR1",0.427628983701804,1.533632773529,7.20952530984853,7.71881235555515e-13,1.57220829353688e-11,18.3762026428881,1.3450212664,1.35
"FBP1","FBP1",0.419920926400473,2.17999700970526,4.79494196664536,1.73770395815936e-06,1.38057676551511e-05,4.20760740947427,1.33785422546465,1.34
"CALB1","CALB1",0.415968547499573,2.1282563360203,3.51253929166078,0.000452925113039766,0.00206287718522566,-1.04738659749204,1.33419408231267,1.33
"ADH1C","ADH1C",0.414310296823131,0.485046642009592,6.08491449207255,1.37410116440051e-09,1.89355584986459e-08,11.0913285731036,1.33266142491225,1.33
"GLYAT","GLYAT",0.407842216769534,1.69181067923964,4.4635109212214,8.47583678879827e-06,5.77769541103082e-05,2.69665014826021,1.3267000354579,1.33
"HRG","HRG",0.402543020558262,0.352251606023029,6.8108832865979,1.25181975756038e-11,2.2221973994887e-10,15.6587056532561,1.32183584201797,1.32
"SELENBP1","SELENBP1",0.400067485340353,1.18715427195735,7.63502242371444,3.36145827562146e-14,7.55404634466581e-13,21.4389981894009,1.31956963519882,1.32
"ID1","ID1",0.39891345003233,0.833622041637925,6.84141218857745,1.01651718816939e-11,1.82669389262426e-10,15.8615914565847,1.31851451197363,1.32
"FABP1","FABP1",0.398213814877026,1.26978801506102,3.876172320088,0.000109265350957092,0.00058148363047929,0.280332661735519,1.31787525319947,1.32
"FMO4","FMO4",0.395708386852385,1.04480260678881,5.62235546351833,2.12646723888983e-08,2.40787680151147e-07,8.44047492316217,1.31558857713932,1.32
"CDH13","CDH13",0.394773234285446,-0.444629004658211,8.14657251371393,6.25048851152041e-16,1.6098550385465e-14,25.3409556593167,1.31473609109426,1.31
"GSTM3","GSTM3",0.394628193471452,1.29625007659468,6.70169750373186,2.617630285018e-11,4.52881043389325e-10,14.9402072357018,1.31460392123004,1.31
"SLC22A8","SLC22A8",0.394057770457124,1.5264680079129,3.41084721502736,0.00065947779652171,0.00287065154084056,-1.39557904091691,1.31408424653568,1.31
"SLC13A3","SLC13A3",0.393917800268523,1.09477993488556,5.08925495167055,3.9041231762119e-07,3.58989743496103e-06,5.6380672176156,1.31395676034329,1.31
"PCK1","PCK1",0.392779337573134,2.84728724654705,3.57788075721791,0.000353986063378169,0.00165425388393134,-0.81832220785507,1.31292029688598,1.31
"GPC3","GPC3",0.390509482070048,0.754880321393511,7.04143758015377,2.54360807351795e-12,4.88879559242877e-11,17.2123689429857,1.31085624584711,1.31
"HYAL1","HYAL1",0.388932978634566,0.945967500949075,8.57871655927012,1.79614999039499e-17,5.35441214337864e-16,28.8223241032618,1.30942459147324,1.31
"AFM","AFM",0.388562451250318,0.782033600736735,3.6309877819674,0.000288883017164045,0.00137515309613704,-0.629074292498778,1.30908833512229,1.31
"RBP4","RBP4",0.387988176153276,1.72427298783534,3.53244683378098,0.000420335883332141,0.00193600648967169,-0.978039725590807,1.30856734683012,1.31
"UPB1","UPB1",0.387936114942383,0.593055649435471,4.93401354683098,8.66836513794112e-07,7.39726606051708e-06,4.87316309474792,1.30852012661414,1.31
"HAO2","HAO2",0.387892014619834,1.30861637981299,4.04462229188742,5.42403301600905e-05,0.000310009712625448,0.939069013822902,1.30848012836361,1.31
"SLC34A1","SLC34A1",0.386643387316965,0.675687449703066,4.37842028107183,1.25224370021067e-05,8.2289150608317e-05,2.32585790792409,1.30734815164172,1.31
"SLC27A2","SLC27A2",0.381442016063742,2.26031588917267,4.09232435615639,4.42695371315765e-05,0.000259997712332206,1.13062616915114,1.30264323512069,1.3
"ATP6V0A4","ATP6V0A4",0.381216499251835,1.01993791205505,6.67808381963387,3.06597142153711e-11,5.28660333646155e-10,14.7862816174791,1.30243962660888,1.3
"PAH","PAH",0.379720595513532,2.73287549574694,3.14929342673115,0.00165894206533126,0.00643133279788891,-2.24462317612012,1.30108985100869,1.3
"DAO","DAO",0.37764797513417,0.806586519901363,4.58631513990142,4.76842954180212e-06,3.4311887448928e-05,3.24413140351924,1.29922200705345,1.3
"TSPAN7","TSPAN7",0.377643298835025,1.04539870926494,8.26792981806909,2.34602153037204e-16,6.16659900978256e-15,26.3015771477287,1.29921779580939,1.3
"ALDH1L1","ALDH1L1",0.375663793842032,1.42470719232338,5.73373521420251,1.11967570325433e-08,1.33434546221161e-07,9.06021494376463,1.29743637667804,1.3
"SLC6A13","SLC6A13",0.373057771702394,0.789462321833853,5.71169596226569,1.27236290975715e-08,1.49539204049044e-07,8.93664781169214,1.29509485897358,1.3
"PVALB","PVALB",0.373006360840378,0.732409174420229,4.65948117916542,3.36229640026505e-06,2.5167994650593e-05,3.57724415730826,1.29504870870975,1.3
"DUSP9","DUSP9",0.372528400917002,0.0920700838797084,6.53056722462448,8.13664053337387e-11,1.32268918050473e-09,13.8365059615753,1.29461973457304,1.29
"OGDHL","OGDHL",0.371264792211439,1.71281830861659,6.04977970305606,1.70375125390874e-09,2.28920585692732e-08,10.8828628960208,1.29348631654797,1.29
"CDH16","CDH16",0.371168090491223,1.97878773669536,5.83700040373447,6.11431784698697e-09,7.55059178568137e-08,9.64533546763054,1.29339961897406,1.29
"RHCG","RHCG",0.368944896362883,0.255996937996265,5.29087190221513,1.33984474486838e-07,1.33130038443639e-06,6.66598093337121,1.29140802412034,1.29
"NPHS2","NPHS2",0.367339901936931,1.22937995580325,3.73645671166271,0.000191453297212123,0.000957734816044009,-0.245068884174039,1.28997213496087,1.29
"CYP17A1","CYP17A1",0.366413648241356,0.211144219627656,4.50724226695113,6.9171213769685e-06,4.78212076264387e-05,2.88994007610641,1.2891441997817,1.29
"ALDOB","ALDOB",0.365062434816445,3.99168097037572,3.32181817057273,0.000909172058257249,0.00380995258019687,-1.69210516384632,1.28793736574707,1.29
"MARC2","MARC2",0.361316158660106,1.43095813432352,6.11847609285645,1.11776098104605e-09,1.56135328295026e-08,11.2915491808481,1.28459729055594,1.28
"PODXL","PODXL",0.360419826709887,1.88388618913152,6.05818099795291,1.61853063227205e-09,2.18293593664414e-08,10.932604267562,1.28379943102808,1.28
"TM4SF1","TM4SF1",0.359504984823258,1.40487502751216,7.18128068987172,9.44843164353056e-13,1.90552689457791e-11,18.1788077921425,1.28298560609603,1.28
"IMPA2","IMPA2",0.359259383547565,2.16900994808737,7.35862159556381,2.62293737826454e-13,5.5757868384106e-12,19.4304258027559,1.28276721199823,1.28
"MSRA","MSRA",0.356358152279403,2.06972751316885,4.97495802964089,7.03914017031693e-07,6.13076731188166e-06,5.0726565116541,1.28019018448339,1.28
"SOSTDC1","SOSTDC1",0.355777588123365,0.624463024999751,5.49457117736277,4.37604218190866e-08,4.69025485429938e-07,7.74400362322191,1.27967511859037,1.28
"ACOX2","ACOX2",0.355409338680746,1.34843468233217,5.10427045465883,3.60993437509564e-07,3.34041438781474e-06,5.71327871325557,1.27934852184005,1.28
"ID4","ID4",0.353841836631326,0.322312511555996,8.42102190509879,6.68782778989516e-17,1.85823475955647e-15,27.5324027000191,1.27795925222004,1.28
"ESRRG","ESRRG",0.353713069771638,0.464872257360745,7.83059195379462,7.53387557288455e-15,1.81256182900575e-13,22.9025429436476,1.27784519384216,1.28
"CRYL1","CRYL1",0.353377592936307,2.27305096860831,5.87504037675705,4.88063732781427e-09,6.12325357998784e-08,9.86342785699733,1.27754808488219,1.28
"NDRG1","NDRG1",0.35077542689197,2.65835594860014,8.06627458616411,1.18672118806679e-15,2.9887251596017e-14,24.7126887836833,1.27524586862898,1.28
"EMCN","EMCN",0.35059813743649,1.1005520733016,7.60027093075539,4.36884740523792e-14,9.73234525458775e-13,21.1826027075115,1.27508916624343,1.28
"CYFIP2","CYFIP2",0.349654047189527,1.69893192303347,5.27425353758135,1.46541580556789e-07,1.4491176607284e-06,6.57978253720447,1.27425502914691,1.27
"AGMAT","AGMAT",0.348575871055763,1.99094045154404,3.72873993486207,0.000197372546760965,0.000983975763350007,-0.273533224193029,1.27330308983972,1.27
"RGN","RGN",0.348065957795198,1.06923577245499,5.85964123990271,5.34769489235252e-09,6.66831466759811e-08,9.77497554955763,1.2728531268302,1.27
"RGS5","RGS5",0.348014748202066,0.867981741604795,6.41952200609001,1.67408855060446e-10,2.61336724121077e-09,13.1350041628347,1.27280794671101,1.27
"FMO1","FMO1",0.347870536734676,2.25067761289682,3.45794885524333,0.000554802124405616,0.00246860388252716,-1.23556119779374,1.27268072347753,1.27
"ECHDC3","ECHDC3",0.346838302278875,1.5432266308899,6.35320296996605,2.56183944878729e-10,3.88071235020001e-09,12.7215724679797,1.27177045831599,1.27
"KNG1","KNG1",0.346432527236851,1.55819122882458,4.87320956795079,1.17748915363218e-06,9.71737416940196e-06,4.57988309062416,1.27141280813325,1.27
