"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","FC","FC_round"
"CXCL9","CXCL9",2.54792407468202,0.479061819438592,28.7875184345387,1.28053414186635e-154,1.19031469096213e-151,342.620819954096,5.84792202445261,5.85
"CXCL10","CXCL10",2.0026482479664,0.48510067209562,26.5968185534157,3.90764049713458e-135,8.32408835066688e-133,297.883628149464,4.00734924561346,4.01
"UBD","UBD",1.77534203833599,0.973130046839382,27.4223023729825,2.17019433656248e-142,6.93444909104729e-140,314.541682114933,3.42319158674895,3.42
"CXCL11","CXCL11",1.66567357565374,-0.354797488065189,29.1541567316292,5.99164317743592e-158,8.75207878418319e-155,350.26675890544,3.17261745475848,3.17
"GBP1","GBP1",1.62733714802282,0.838576567099566,28.9918586702912,1.79405979640462e-156,2.03825126869302e-153,346.876907933116,3.08942242503027,3.09
"C1QB","C1QB",1.62335510732059,0.851417317066933,25.1082687606726,2.42717049764588e-122,3.14149599220621e-120,268.51359548705,3.08090694310417,3.08
"LYZ","LYZ",1.60169269305871,0.893827013464707,22.5779810668617,1.48677730341968e-101,9.10317241165644e-100,220.800683237423,3.03499195667081,3.03
"CD52","CD52",1.47847510679626,0.196057516645595,25.1350807873001,1.43930269248055e-122,1.88677820905303e-120,269.034581241381,2.78654047079694,2.79
"PSMB9","PSMB9",1.44414246676407,0.49898723778776,27.3952311193543,3.76839151724607e-142,1.16763040193458e-139,313.99142769661,2.72101039250735,2.72
"CCL5","CCL5",1.42517744846697,0.134435084149519,27.480629755351,6.60310400052578e-143,2.17795930339923e-140,315.728146465294,2.6854752930816,2.69
"CXCL13","CXCL13",1.42053085631636,-0.597409330717305,23.1501494879275,3.85131490395582e-106,2.6788908090441e-104,231.32719260735,2.67683990256178,2.68
"TYROBP","TYROBP",1.41453808001852,0.78605626246408,25.8846418999572,5.76698354146785e-129,9.3599058272236e-127,283.72059803552,2.66574370362153,2.67
"CD3D","CD3D",1.40725787849616,-0.198935452540979,28.3041617921204,2.94071749386586e-150,1.58257033551465e-147,332.607205250723,2.65232557546356,2.65
"CD48","CD48",1.40590052476148,-0.00857348445157623,26.7725698652809,1.13871914078135e-136,2.71775662215415e-134,301.408976391028,2.64983131932206,2.65
"ADAMDEC1","ADAMDEC1",1.3837514778217,-0.631074944940507,28.0292921704009,8.57784261161914e-148,4.17659241446694e-145,326.947493219019,2.60946034463385,2.61
"C1QA","C1QA",1.35723056684625,0.331233520761945,26.1015259934261,7.78780351054218e-131,1.37293604991886e-128,288.012643014228,2.56192912915492,2.56
"CD8A","CD8A",1.3478428977554,-0.327427897456682,31.6038032969499,1.2238679940155e-180,1.25140502388085e-176,402.369265018626,2.54531268369159,2.55
