"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"CXCL9",1263,18.4869736887735,0.0773866955259619,0,0,2.69567356761266,1.43064580404959,2.7
"CXCL11",8988,18.3412529942142,0.0622327151536718,0,0,2.20598957507695,1.14142597315036,2.21
"CXCL10",6187,16.8570457852696,0.0701510249326787,0,0,2.26975886937328,1.18253903917375,2.27
"HLA-DRA",307,15.9504069295379,0.0489519188126382,0,0,1.71808691894434,0.780803025043277,1.72
"GBP1",57,15.8487190313377,0.0519679043638836,0,0,1.7698470828434,0.82362471491062,1.77
"HLA-DPA1",9924,15.6968766468665,0.0517804155613578,0,0,1.75660619375813,0.81279079579012,1.76
"CX3CR1",5331,15.4802706086876,0.0437667351177941,0,0,1.59938903609434,0.677520903282205,1.6
"IDO1",7978,15.3769519999203,0.0474289921094206,0,0,1.65784983384242,0.72931333507116,1.66
"CTSS",6505,15.2752006997328,0.0432151866083935,0,0,1.58021476732703,0.660120648719614,1.58
"PSMB9",2557,15.0366058817054,0.0490640558961257,0,0,1.66758103678142,0.737756871468006,1.67
"CLIC2",8124,14.6900171296815,0.0246889837813519,0,0,1.28581367077007,0.362681594662488,1.29
"TAP1",3338,14.6406195243584,0.0366307024497076,0,0,1.45024452966534,0.536296177476152,1.45
"HLA-E",5550,14.5431455174043,0.0335328427381185,0,0,1.40218140863697,0.48767301155269,1.4
"PTPRC",3639,14.4944756221577,0.0295029744935705,0,0,1.34502234868283,0.427630144578197,1.35
"PLA1A",4390,14.2691363649339,0.0429136553217435,0,0,1.52873760316766,0.612340799703729,1.53
"LST1",6784,14.2308414821236,0.0400296263194651,0,0,1.48416888478367,0.56965526674095,1.48
"HLA-DMA",4687,13.9940090472703,0.0413031502639665,0,0,1.49277492577419,0.57799665847471,1.49
"SRGN",505,13.8729301873306,0.0473373921531355,0,0,1.57648160543454,0.656708336590741,1.58
"CASP1",4509,13.8592228740646,0.0334934935515848,0,0,1.37954621879318,0.464193791962457,1.38
"PLAC8",2517,13.7625958435161,0.0482833333268922,0,0,1.58502324976378,0.664504002555786,1.59
"GBP2",2683,13.6242638687584,0.0379898780936126,0,0,1.43155601618224,0.51758412348934,1.43
"UBD",706,13.585467364845,0.0572064617145396,0,0,1.71377358277925,0.777176518681134,1.71
"CSF2RB",2146,13.4913450372275,0.0365242966335786,0,0,1.40713611316375,0.492761888125656,1.41
"PTPRE",1848,13.4409130487145,0.0177637338226951,0,0,1.17997868711596,0.238760801731353,1.18
"CD48",751,13.4002039282799,0.0533638302247386,0,0,1.64158130642942,0.715086207405602,1.64
"TNFAIP3",844,13.3757506394803,0.0323421782533198,0,0,1.34966457967886,0.432600911454029,1.35
"HLA-DMB",830,13.3546729607625,0.0398013834621476,0,0,1.44546578471812,0.531534459522882,1.45
"KLRD1",6580,13.3449689286369,0.0257706644656072,0,0,1.26919057816599,0.343908716563856,1.27
"EVI2B",8245,13.2703290365712,0.0411512051618435,0,0,1.46012312817674,0.546090032749109,1.46
"IRF1",2148,13.1933557661432,0.0425629443045142,0,0,1.47585201329586,0.561548066663994,1.48
"TRIM22",8089,13.1228799673081,0.0387274421707207,0,0,1.42228992071702,0.508215575047234,1.42
"ACKR1",8028,13.1040676997733,0.0614598697761984,0,0,1.74759913203806,0.805374294366557,1.75
"HLA-DPB1",1892,13.1017341624939,0.0373354891077369,0,0,1.40362704717543,0.489159653116255,1.4
"IL10RA",1145,13.0977311911156,0.0379865419719551,0,0,1.4118017509177,0.497537515628699,1.41
"HLA-B",40,13.0509541655319,0.0499262699184985,0,0,1.57089359265791,0.651585460362296,1.57
"HLA-DOB",4599,13.0130361629353,0.0269188000415276,0,0,1.2748215554612,0.350295318403223,1.27
"GNLY",7840,12.9453365797183,0.038786742063455,0,0,1.41628089819076,0.502107430842142,1.42
"PRF1",2570,12.8664251362001,0.027755298849279,0,0,1.28085882745363,0.357111474777109,1.28
"APOL1",8106,12.7636197786006,0.0247682126007513,0,0,1.24498818251566,0.316132048231535,1.24
"CD160",10195,12.6993376994494,0.0231177326424921,0,0,1.22567789617465,0.293579893672591,1.23
"ITGAL",4269,12.6794154670559,0.0289165188259538,0,0,1.28935054782029,0.366644556055211,1.29
"LILRB1",2021,12.6578904768453,0.0282408062053222,0,0,1.28117631449939,0.357469031924781,1.28
"PSMB8",4024,12.6427178013147,0.0375512168033149,0,0,1.38967684406071,0.474749437140296,1.39
"LCP2",8364,12.6261208175075,0.033913402300173,0,0,1.34554879960264,0.428194714774723,1.35
"CD247",9605,12.6000773497032,0.0308594618882616,0,0,1.30933258716514,0.388831606762314,1.31
"STAT4",9006,12.592488938554,0.0224938004699137,0,0,1.21693569335887,0.28325293360343,1.22
"ACSL5",7361,12.5526588115926,0.0255917134463863,0,0,1.24940745841292,0.321244047296534,1.25
"LYZ",8990,12.5230897816711,0.0648209476556748,0,0,1.75534979123756,0.811758547225015,1.76
"HCK",3222,12.4998647461488,0.0299327236042676,0,0,1.29608020286524,0.374154996537199,1.3
"P2RY13",4780,12.4406800589883,0.0218751393387722,0,0,1.20759911925811,0.272141609759453,1.21
