"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"AOC1",5398,7.95501295725961,0.0988626708174277,0,0,1.72482958286784,0.786453827341931,1.72
"GSTA1",7772,5.80089324731202,0.12919756120175,0,0,1.68116492279674,0.749461260344416,1.68
"HPD",2359,5.22782829266179,0.136823754229997,0,0,1.64181445412207,0.71529109347178,1.64
"XPNPEP2",2984,6.50415455754724,0.109911358013472,0,0,1.64134721207328,0.714880460149532,1.64
"REN",3838,5.38273790337503,0.116953854960271,0,0,1.54706300017487,0.629531948040475,1.55
"UMOD",3504,5.16435430710897,0.120104071329589,9.7799511002445e-07,4.79201866926915e-06,1.53715215586561,0.620259978072286,1.54
"PLG",3044,5.5693397598962,0.110319508760015,0,0,1.53092841637088,0.614406826429371,1.53
"AZGP1",5971,5.5169238151814,0.10104822908236,0,0,1.47169160211346,0.557475381506376,1.47
"DIO1",4074,4.86756016409377,0.113975601549964,1.9559902200489e-06,7.50455445723816e-06,1.46894776748852,0.554783097783231,1.47
"APOM",1373,4.91179579354471,0.106556589939895,1.9559902200489e-06,7.50455445723816e-06,1.43732290514373,0.523384210241244,1.44
"CAPN3",4115,6.16003589045437,0.0844279870278937,0,0,1.43403419925435,0.520079430250641,1.43
"SERPINA6",8931,8.06517148947884,0.0639915389015022,0,0,1.43008682001368,0.516102735116272,1.43
"PCK2",9290,5.62564069852372,0.0914038499080899,0,0,1.42820712242835,0.514205218044705,1.43
"EGF",281,4.89978581048543,0.104875353206632,1.9559902200489e-06,7.50455445723816e-06,1.42787211000117,0.513866767511501,1.43
"SLC22A6",4941,4.60797521278935,0.106859012947239,1.9559902200489e-06,7.50455445723816e-06,1.40678678021962,0.492403682924014,1.41
"HSD11B2",5060,6.79121519321387,0.0721413626139347,0,0,1.40437431707238,0.489927517842905,1.4
"CUBN",2542,4.37181848731196,0.112060103518486,1.17359413202934e-05,4.03147893208192e-05,1.40435379170507,0.489906432252211,1.4
"PIPOX",4192,4.53882578811433,0.107119086931471,3.9119804400978e-06,1.44871538131228e-05,1.40074551587878,0.48619487416382,1.4
"AQP2",10056,6.01536565477148,0.0792583999849899,0,0,1.39162283482489,0.476768257121849,1.39
"SERPINA5",10186,6.29324438669493,0.0725192200904382,0,0,1.37209576241521,0.456381174761645,1.37
"ALDH6A1",7695,5.49670206759196,0.0826778456378573,0,0,1.37026552942778,0.45445548506166,1.37
"ADIRF",9166,7.10660484833987,0.0631024814071194,0,0,1.36456810464038,0.44844440031011,1.36
"DCXR",5116,5.38157072610141,0.0831322152554444,0,0,1.36356350860849,0.447381896014663,1.36
"RALYL",4909,7.48068695346918,0.0593032933884559,0,0,1.36002141943929,0.443629373148778,1.36
"MME",6573,5.16462866576997,0.085032314163464,9.7799511002445e-07,4.79201866926915e-06,1.35581499066073,0.439160327245385,1.36
"MGAM",6432,5.63039985356033,0.0778424173354675,0,0,1.35499162560236,0.438283935166398,1.35
"CLDN10",6896,6.5138151256281,0.067198052820062,0,0,1.35445803262997,0.437715692872076,1.35
"RIDA",3441,5.24360411842754,0.082327318858119,0,0,1.3488144228823,0.43169186822353,1.35
"SLC12A1",8213,4.09904083579017,0.105150773378412,4.40097799511002e-05,0.000133563484252397,1.34818391139119,0.43101731399303,1.35
"CLDN8",396,5.71282408662169,0.0749915284920022,0,0,1.34575278433006,0.428413410261687,1.35
"FOLR1",9395,6.27294316720737,0.0681703902463669,0,0,1.34502126640001,0.427628983701806,1.35
"FBP1",7643,4.87391117881868,0.0861568688870225,1.9559902200489e-06,7.50455445723816e-06,1.33785422546465,0.419920926400474,1.34
"CALB1",1054,3.36474223669577,0.123625680137704,0.000842053789731051,0.00179980270143062,1.33419408231267,0.415968547499573,1.33
"ADH1C",3355,6.03329403382534,0.0686706622452554,0,0,1.33266142491225,0.414310296823135,1.33
"GLYAT",559,4.16773581024208,0.09785702245504,3.32518337408313e-05,0.000103269089300413,1.3267000354579,0.407842216769534,1.33
"HRG",4095,6.80308651550217,0.0591706455064167,0,0,1.32183584201797,0.402543020558263,1.32
"SELENBP1",8177,6.98510412494057,0.057274376757234,0,0,1.31956963519882,0.400067485340355,1.32
"ID1",2788,6.874173808971,0.0580307482932336,0,0,1.31851451197363,0.398913450032335,1.32
"FABP1",10001,3.61328003498544,0.110208400960162,0.000326650366748166,0.000777606796996576,1.31787525319946,0.398213814877024,1.32
"FMO4",955,5.65056076850615,0.0700299320835371,0,0,1.31558857713932,0.395708386852386,1.32
"CDH13",5801,7.47929474406405,0.0527821469529283,0,0,1.31473609109427,0.394773234285453,1.31
"GSTM3",10033,6.89379203787884,0.0572439944957897,0,0,1.31460392123004,0.394628193471455,1.31
"SLC22A8",3487,3.20090795886755,0.12310812292039,0.00147872860635697,0.00293543103517829,1.31408424653568,0.394057770457122,1.31
"SLC13A3",1912,4.7511349346948,0.0829102531675055,1.9559902200489e-06,7.50455445723816e-06,1.31395676034329,0.393917800268526,1.31
"PCK1",385,3.23956490003784,0.121244472542763,0.00130757946210269,0.00264164271655775,1.31292029688599,0.392779337573135,1.31
"GPC3",3977,7.20889132375503,0.0541705325454454,0,0,1.31085624584711,0.390509482070051,1.31
"HYAL1",8660,7.56118562675721,0.0514380942134562,0,0,1.30942459147324,0.388932978634569,1.31
"AFM",9992,3.54200734628578,0.10970119857537,0.000431295843520782,0.000995562653188077,1.30908833512228,0.388562451250316,1.31
"RBP4",4085,3.11815893799767,0.124428607992132,0.00194425427872861,0.00370750075049261,1.30856734683012,0.387988176153277,1.31
"UPB1",7263,4.93698314444908,0.0785775652036733,1.9559902200489e-06,7.50455445723816e-06,1.30852012661414,0.387936114942383,1.31
"HAO2",9979,3.82817622295298,0.101325537809391,0.000149633251833741,0.000395504093523122,1.30848012836361,0.387892014619834,1.31
"SLC34A1",2600,4.5148406682045,0.0856383238593288,3.9119804400978e-06,1.44871538131228e-05,1.30734815164172,0.386643387316966,1.31
"SLC27A2",6157,3.74251193416776,0.101921389369881,0.000210268948655257,0.000535112992876912,1.30264323512069,0.381442016063742,1.3
"ATP6V0A4",7583,5.90375850764889,0.0645718314456686,0,0,1.30243962660888,0.381216499251836,1.3
"PAH",9297,3.14854109773157,0.120602076875258,0.00175745721271394,0.0033986319138845,1.30108985100869,0.379720595513531,1.3
"DAO",8369,4.58308059636253,0.0824004656243446,1.9559902200489e-06,7.50455445723816e-06,1.29922200705345,0.377647975134172,1.3
"TSPAN7",9626,8.12557875362702,0.0464758647088933,0,0,1.2992177958094,0.377643298835026,1.3
"ALDH1L1",5752,5.33422746533449,0.070425154585806,0,0,1.29743637667804,0.375663793842033,1.3
"SLC6A13",4591,5.37285429557988,0.0694338150969959,0,0,1.29509485897358,0.373057771702393,1.3
"PVALB",7419,4.42600037128151,0.0842761702553537,1.07579462102689e-05,3.74927540683619e-05,1.29504870870975,0.373006360840379,1.3
"DUSP9",2259,6.37213816001498,0.0584620721588571,0,0,1.29461973457304,0.372528400917003,1.29
"OGDHL",7401,5.51350511887241,0.0673373442495997,0,0,1.29348631654797,0.37126479221144,1.29
"CDH16",9103,5.20407372913959,0.071322604138545,9.7799511002445e-07,4.79201866926915e-06,1.29339961897406,0.371168090491224,1.29
"RHCG",8056,4.96364523783254,0.0743294249860592,1.9559902200489e-06,7.50455445723816e-06,1.29140802412034,0.368944896362884,1.29
"NPHS2",10120,3.60641994647016,0.101857217791976,0.000335452322738386,0.00079658168021854,1.28997213496087,0.367339901936936,1.29
"CYP17A1",3753,4.30743764704852,0.0850653400618405,1.56479217603912e-05,5.21819820018954e-05,1.2891441997817,0.366413648241356,1.29
"ALDOB",3899,3.37861489900292,0.108050916049707,0.00080880195599022,0.00174037424868294,1.28793736574707,0.365062434816448,1.29
"MARC2",7021,6.10886322192885,0.0591462184589594,0,0,1.28459729055594,0.361316158660107,1.28
