"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"CXCL9",1263,24.7983510100306,0.102745705698393,0,0,5.84792202445271,2.54792407468204,5.85
"CXCL10",6187,22.6879258159423,0.0882693404506466,0,0,4.00734924561352,2.00264824796642,4.01
"UBD",706,23.0015034949167,0.0771837388250885,0,0,3.42319158674899,1.77534203833601,3.42
"CXCL11",8988,20.1406386488208,0.0827021230407347,0,0,3.17261745475852,1.66567357565375,3.17
"GBP1",57,21.5386825853798,0.0755541636110766,0,0,3.08942242503031,1.62733714802283,3.09
"C1QB",1019,19.1173866458064,0.0849151161399304,0,0,3.08090694310421,1.62335510732061,3.08
"LYZ",8990,21.085243762002,0.0759627306725835,0,0,3.03499195667084,1.60169269305873,3.03
"CD52",7262,21.7112941001747,0.0680970512386167,0,0,2.78654047079697,1.47847510679628,2.79
"PSMB9",2557,21.5925185635613,0.0668816128379371,0,0,2.72101039250737,1.44414246676408,2.72
"CCL5",7001,21.6528454826622,0.0658194069508389,0,0,2.68547529308163,1.42517744846698,2.69
"CXCL13",6794,16.0147977217057,0.0887011425933311,0,0,2.67683990256181,1.42053085631637,2.68
"TYROBP",6700,20.8569160083288,0.0678210565480372,0,0,2.66574370362155,1.41453808001853,2.67
"CD3D",6022,21.9945665423315,0.063982069198214,0,0,2.65232557546358,1.40725787849618,2.65
"CD48",751,22.5648022241326,0.0623050231416571,0,0,2.64983131932208,1.4059005247615,2.65
"ADAMDEC1",9338,20.5802615010334,0.067236826789214,0,0,2.60946034463387,1.38375147782171,2.61
"C1QA",7984,19.340108847429,0.0701769869835396,0,0,2.56192912915494,1.35723056684626,2.56
"CD8A",8771,22.6370551628254,0.0595414415903727,0,0,2.54531268369161,1.34784289775542,2.55
"IDO1",7978,20.3455067608517,0.06566518101746,0,0,2.52448898813757,1.33599138434328,2.52
"JCHAIN",4011,11.1347233354329,0.119521380358802,0,0,2.51548659748671,1.33083750296431,2.52
"CTSS",6505,23.5223652581413,0.0564561416277167,0,0,2.51051263249415,1.32798198443251,2.51
"LAPTM5",6271,20.0531257425859,0.0660073319631694,0,0,2.50299138906111,1.32365332779005,2.5
"HLA-DQA1",209,12.7219690502297,0.100780290241743,0,0,2.4319671360754,1.28212373332862,2.43
"HLA-DRA",307,19.3416275491962,0.065989428425638,0,0,2.42224189689498,1.27634294679303,2.42
"GZMK",10173,20.8494935813161,0.0610368052428994,0,0,2.41594310377131,1.27258647913587,2.42
"MS4A6A",7806,20.9987558227897,0.0604513335953713,0,0,2.41061756856585,1.26940279333121,2.41
"STAT1",6849,20.730251609641,0.0607907097015431,0,0,2.395300580491,1.26020670764163,2.4
"APOC1",9782,16.1578051239208,0.0779887814203804,0,0,2.39516912918,1.26012753204256,2.4
"HLA-DPA1",9924,20.3325324919145,0.0619314035508377,0,0,2.3936666885251,1.25922227496728,2.39
"CD2",1438,21.5657068920691,0.0582088252875864,0,0,2.38719176628533,1.25531446468375,2.39
"PLAC8",2517,20.9937977533655,0.0594726976600174,0,0,2.37603779769229,1.24855778652146,2.38
"FCER1G",6771,17.2607019119734,0.0714354926321374,0,0,2.35059623110042,1.2330267442583,2.35
"CCL19",1764,13.5927402751766,0.0904414238106311,0,0,2.3446080785376,1.22934678397508,2.34
"EVI2B",8245,22.3598612165342,0.0533096600459081,0,0,2.28468710956901,1.19199660012712,2.28
"SRGN",505,19.9113844084922,0.0595973214713705,0,0,2.27625971964455,1.18666517753294,2.28
"CD163",302,17.5453820898265,0.0675427942936605,0,0,2.27373502041885,1.18506413329682,2.27
"LCP1",3625,19.323662525151,0.060949614868058,0,0,2.2622679061652,1.17776978874828,2.26
"HLA-DRB1",10097,17.3095590522466,0.0679352505202357,0,0,2.25938359551435,1.17592923060919,2.26
"TAP1",3338,22.2411761808671,0.0514932910950503,0,0,2.21187730391478,1.14527135937769,2.21
"APOBEC3G",9100,21.8085391242711,0.0524811372926463,0,0,2.21075160437483,1.14453693593292,2.21
"CSTA",5406,19.5000445123443,0.0584423991908619,0,0,2.2032441669806,1.13962938563,2.2
"SELL",9802,19.3306249318014,0.0584785031970933,0,0,2.18923376358257,1.13042601187616,2.19
"EVI2A",7441,22.9277300319023,0.0490838340674723,0,0,2.18159136713578,1.12538089642969,2.18
"POU2AF1",2171,15.1794379996116,0.0738515464604452,0,0,2.17501442729652,1.12102497067176,2.18
"IL10RA",1145,22.3704211932692,0.0488462712061364,0,0,2.13274526509665,1.09271166060193,2.13
"RAC2",17,20.3620596773724,0.053597739337437,0,0,2.13074857434487,1.09136036696114,2.13
"IL7R",6837,19.6377543323929,0.05537811166438,0,0,2.12505731426372,1.08750175225691,2.13
"GBP2",2683,20.376690657126,0.052811498680645,0,0,2.10836342737189,1.07612357175472,2.11
"IRF8",6465,21.7065579420314,0.0494096012130404,0,0,2.10309259667833,1.07251237162353,2.1
"LCP2",8364,23.4815578452599,0.0453959480174696,0,0,2.09357351599154,1.06596757931262,2.09
"RARRES3",6445,16.2817458417667,0.0654218691616084,0,0,2.0924341863492,1.06518224618262,2.09
"HLA-DMB",830,19.3932030062639,0.0545461295221037,0,0,2.08178944953073,1.05782416302812,2.08
"HLA-DMA",4687,19.5438056160911,0.0541170445251525,0,0,2.08154247639354,1.05765299871693,2.08
"GZMB",4590,18.2310403076855,0.0578306746769701,0,0,2.07672956883866,1.05431336105649,2.08
"C3",6067,12.4284410566235,0.0846024977986626,0,0,2.07265092258885,1.0514771571338,2.07
"CSF2RB",2146,21.6341773144558,0.0484744746427212,0,0,2.06867266535649,1.04870537964572,2.07
"HLA-B",40,16.8408292412678,0.0606348588606189,0,0,2.02952386426196,1.02114130414005,2.03
"LTF",5608,9.46424353022967,0.103944250844551,0,0,1.97760418798153,0.983753703560113,1.98
"CORO1A",960,19.0143333287549,0.0515101688211769,0,0,1.97168833092504,0.979431519786294,1.97
"MMP7",9635,11.8011311644755,0.0829559137623492,0,0,1.97106263110769,0.9789736191784,1.97
"TRIM22",8089,20.9323215398567,0.046714787074821,0,0,1.96952665720831,0.977848943716097,1.97
"ARHGDIB",4471,17.8437803896791,0.0547853834617077,0,0,1.96915728636558,0.977578351055069,1.97
"LST1",6784,21.1078149026332,0.046181897708754,0,0,1.96536728805674,0.974798948688719,1.97
"IRF1",2148,17.5144957674158,0.0555630757266903,0,0,1.96313482012268,0.973159254639723,1.96
"IFI16",9404,20.5649316683931,0.047272264158913,0,0,1.96176316549924,0.972150882238274,1.96
"CD69",1615,21.6820928882729,0.0446391338462298,0,0,1.95595048183055,0.967869846505999,1.96
"ITGB2",9031,17.7753411163083,0.0543548617803209,0,0,1.95365566109845,0.966176209474991,1.95
"AIF1",2589,18.2011537696679,0.0525961881849934,0,0,1.94168787728952,0.957311308853454,1.94
"TIMP1",2199,13.3166764173041,0.0717329123355383,0,0,1.93890750539033,0.955243982043208,1.94
"S100A8",2443,11.1824240026419,0.0846554932576248,0,0,1.9273968064322,0.94665361975955,1.93
"ISG20",2126,17.8801298365714,0.0527291423877199,0,0,1.92226056959285,0.94280391206349,1.92
"NNMT",5243,12.3473886133004,0.076320514365087,0,0,1.92166792257695,0.942359050032702,1.92
"LTB",1702,16.2344057714225,0.0572833632462904,0,0,1.905224971189,0.92996136289207,1.91
"IGSF6",5334,19.1249443777106,0.0484867452120419,0,0,1.90172192295071,0.927306305236527,1.9
"PSMB10",9019,17.5072250908067,0.0525726316420203,0,0,1.89264114708129,0.920400895772916,1.89
"RGS10",5755,19.5138225718144,0.0471075390459826,0,0,1.89112949971298,0.919248158738123,1.89
"VSIG4",9740,15.501295631696,0.0590293487658761,0,0,1.88561009327663,0.915031386166333,1.89
"PSMB8",4024,17.9142287914222,0.0509827049424443,0,0,1.88336919890032,0.913315840744518,1.88
"CASP1",4509,20.2410848167601,0.0450644341197536,0,0,1.88185182103893,0.912153033237229,1.88
"FCN1",3168,16.6863560857894,0.0546609676961032,0,0,1.8817726948252,0.912092370971009,1.88
"ARPC1B",4329,16.6839794048185,0.0544278508134855,0,0,1.87653752763732,0.908073142020728,1.88
"SLAMF8",8770,19.721774789506,0.045347957183028,0,0,1.85876218361041,0.89434219872784,1.86
"PTPRC",3639,23.3134363244106,0.0381523943637206,0,0,1.85248699782038,0.889463416622401,1.85
"MNDA",7529,19.052679949063,0.0465638932282247,0,0,1.8495405806143,0.887166954859708,1.85
"GPR65",7640,22.6548629265764,0.0390023656260699,0,0,1.84496474326594,0.883593247070829,1.84
"GPR171",5501,21.1663151705279,0.041695125959384,0,0,1.84360831182978,0.882532177131182,1.84
